Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7388139223253;42.8586;23.7687;12.1177;
7388149223253;43.4655;23.7974;11.5638;
7388159223253;41.9045;23.2495;15.4471;
7388169223253;42.2002;23.4946;14.0784;
7388179223253;42.2885;22.9702;16.8304;
7388189223253;42.5855;23.1407;16.3359;
7388199223253;42.1920;23.1149;15.7546;
7388209223253;42.6410;22.2246;16.2399;
7388219223253;41.9849;22.7213;16.7552;
7388229223253;42.6547;22.3815;17.4754;
7388239223253;42.5494;22.1463;17.9796;
7388249223253;42.2540;22.1268;17.4956;
7388259223253;42.7436;22.3082;16.5217;
7388269223253;43.3397;22.6504;15.9178;
7388279223253;42.8522;22.6203;16.0094;
7388289223253;42.8728;23.2314;14.6943;
7388299223253;42.9559;22.8547;15.2164;
7388309223253;42.6568;22.6832;15.3258;
7388319223253;42.9617;23.0078;15.0079;
7388329223253;42.9570;22.8552;15.4089;
7388339223253;42.7649;22.9949;14.7173;
7388349223253;42.1788;22.8079;15.8828;
7388359223253;42.5676;22.8315;15.5977;
7388369223253;42.8681;23.0788;15.0953;
7388379223253;42.8586;22.9240;14.6299;
7388389223253;42.2933;23.2731;15.1620;
7388399223253;41.2255;23.2090;16.2107;
7388409223253;42.1978;23.2680;15.5462;
7388419223253;42.0926;23.0328;16.0504;
7388429223253;41.6056;23.0029;16.2383;
7388439223253;41.9068;23.3258;15.2466;
7388449223253;41.5199;23.2280;16.5023;
7388459223253;41.5212;23.3038;16.1093;
7388469223253;41.7992;23.0143;15.9514;
7388479223253;42.4795;23.1306;14.7948;
7388489223253;42.3932;23.3554;14.9625;
7388499223253;42.8683;23.1541;14.5097;
7388509223253;42.5726;23.0593;14.6112;
7388519223253;42.3972;23.4325;15.0508;
7388529223253;41.9931;23.1010;15.0789;
7388539223253;42.7786;23.3022;14.6854;
7388549223253;42.2089;23.5740;15.0330;
7388559223253;42.4027;23.5103;15.4279;
7388569223253;42.2964;23.2746;15.7396;
7388579223253;41.0475;23.5809;16.1690;
7388589223253;41.3271;23.2922;16.2999;
7388599223253;41.0398;23.3518;16.6742;
7388609223253;41.3355;23.4466;16.5728;
7388619223253;41.3344;23.4460;16.3802;
7388629223253;41.2208;23.0564;16.6117;
7388639223253;41.6262;23.4638;16.1905;
7388649223253;41.9026;23.1735;15.7439;
7388659223253;42.2020;23.4203;15.0489;
