Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
83891824119796;-0.1534;0.0337;0.0221;
83891834226723;-0.2035;0.0049;-0.0130;
83891844332400;-0.1939;-0.0079;-0.0301;
83891854438129;-0.1609;-0.0206;-0.0876;
83891864545785;-0.1214;-0.0419;-0.1270;
83891874651463;-0.1140;-0.0302;-0.1324;
83891884757192;-0.0703;-0.0642;-0.1686;
83891894848077;-0.0650;0.0060;-0.1356;
83891904953754;-0.0511;0.0550;-0.1430;
83891915059483;-0.0277;-0.0079;-0.1622;
83891925185681;0.0053;-0.0089;-0.1473;
83891935291358;-0.0341;0.0454;-0.1313;
83891945397088;-0.0554;-0.0153;-0.1196;
83891955504119;-0.0756;-0.0610;-0.1260;
83891965609796;-0.0714;-0.0324;-0.1057;
83891975715525;-0.0810;-0.0525;-0.0802;
83891985814015;-0.0650;-0.0217;-0.1185;
83891995919692;-0.0469;0.0571;-0.1270;
83892006025421;-0.0107;0.0348;-0.1057;
83892016125473;0.0383;-0.0356;-0.1100;
83892026231150;0.1385;0.1083;-0.0759;
83892036336879;0.1300;0.1019;-0.0738;
83892046438025;0.1278;0.0209;-0.0386;
83892056543702;0.1800;0.0507;-0.0301;
83892066649431;0.1118;0.0007;-0.0333;
83892076764744;0.1374;-0.0004;-0.0407;
83892086870421;0.1960;0.0134;0.0040;
83892096976098;0.1619;0.0252;0.0605;
83892107144223;0.1449;-0.0036;0.0445;
83892117249900;0.1193;-0.0260;0.0498;
83892127355577;0.0565;-0.0228;0.0615;
83892137382973;0.0138;-0.0196;0.0402;
83892147488598;0.0224;-0.0132;0.0093;
83892157594327;0.0373;-0.0249;0.0349;
83892167771150;0.0277;0.0294;0.0264;
83892177876827;-0.0138;-0.0174;-0.0013;
83892187982504;-0.0234;-0.0557;-0.0205;
83892198042608;-0.0085;-0.0185;-0.0173;
83892208148338;-0.0053;-0.0313;0.0200;
